# Historical Danish spelling variants extracted from
# Galberg Jacobsen, Ret og Skrift (Bind 2, kap. 4 Ordlister), SDU 2010.
# best-effort extraction; review before promoting to rules. See docs/07.
#source(historical)	target(modern)	rp	norm_year
giøre	gøre	RP11	1847
Hiørne	hjørne	RP11	1847
høi	høj	RP11	1847
nøie	nøje	RP11	1847
skiøn	skøn	RP11	1847
Øie	øje	RP11	1847
Bierg	bjerg	RP13	1775
fierde	fjerde	RP13	1775
gierne	gerne	RP13	1775
gielde	gælde	RP13	1739
Hielm	hjelm	RP13	1775
Hierne	hjerne	RP13	1775
Hierte	hjerte	RP13	1739
Hielp	hjælpe	RP13	1739
Kierlighed	kærlighed	RP13	1775
legge	lægge	RP13	1739
negte	nægte	RP13	1739
neppe	næppe	RP13	1739
Siæl	sjæl	RP13	1739
sielden	sjælden	RP13	1775
Stierne	stjerne	RP13	1775
tiene	tjene	RP13	1775
imod	tvert	RP13	1739
imod	tvært	RP13	1872
Batallion	bataljon	RP16	1775
Linie	linje	RP16	1739
tredie	tredje	RP16	1739
Vidie	vidje	RP16	1775
Villie	vilje	RP16	1739
Arbeyde	arbejde	RP17a	1739
ey	ej	RP17a	1739
Feyl	fejl	RP17a	1739
høy	høj	RP17a	1739
nøye	nøje	RP17a	1739
pleye	pleje	RP17a	1739
seile	sejle	RP17a	1775
Vajsenhuset	vajsenhus	RP17a	1775
Vei	vej	RP17a	1775
feig	fej	RP17a1	1775
Thorshaun	havn	RP17b	1739
best	bedst	RP18-19	1739
iblandt	blandt	RP18-19	1739
endskiøndt	endskønt	RP18-19	1739
gandske	ganske	RP18-19	1739
Gidsler	gidsel	RP18-19	1775
grant	grangivelig	RP18-19	1775
grandske	granske	RP18-19	1775
Grændse	grænse	RP18-19	1775
grædsk	græsk	RP18-19	1739
heldst	helst	RP18-19	1739
jydsk	jysk	RP18-19	1775
kand	kan	RP18-19	1739
Krands	krans	RP18-19	1775
Krit	kridt	RP18-19	1775
Pindse	pinse	RP18-19	1739
Prinds	prins	RP18-19	1775
Skandse	skanse	RP18-19	1775
Stalbroder	staldbroder	RP18-19	1775
Sødskende	søskende	RP18-19	1775
tydsk	tysk	RP18-19	1775
tilspørge	spørge	RP20	1739
Spørsmaal	spørgsmål	RP20	1739
Hiem	hjem	RP21	1775
Uhr	ur	RP21	1775
grovt	groft	RP22	1775
havt	haft	RP22	1775
Køer	ko	RP24a	1775
Træer	træ	RP24a	1775
Fabriker	fabrikker	RP25a	1775
Catholiker	katolikker	RP25a	1775
Compasser	kompasser	RP25a	1775
Mathematiken	matematikken	RP25a	1775
Musiken	musikken	RP25a	1775
Republiken	republikker	RP25a	1775
Fændriker	fenrikker	RP25c	1775
Tiid	tid	RP3	1739
befoel	befol	RP4a	1775
Juel	jul	RP4a	1739
Academie	akademi	RP4b	1775
Bye	by	RP4b	1739
Fæe	fæ	RP4b	1739
Geographie	geografi	RP4b	1775
Kroe	kro	RP4b	1739
Lye	ly	RP4b	1775
muelig	mulig	RP4b	1739
maaskee	måske	RP4b	1739
nye	paa	RP4b	1775
ny	paa	RP4b	1800
Ny	paa	RP4b	1847
Roe	ro	RP4b	1775
Snee	sne	RP4b	1775
Stie	sti	RP4b	1775
Søe	sø	RP4b	1775
Døttre	døtre	RP5a	1775
sladdre	sladre	RP5a	1775
tappre	tapre	RP5a	1775
veggre	vægre	RP5a	1775
yttre	ytring	RP5a	1775
Saffian	safian	RP5b	1775
Begiærlighed	begærlighed	RP6	1739
bekiendt	bekendt	RP6	1739
Forskiel	forskel	RP6	1775
gierne	gerne	RP6	1775
giøre	gøre	RP6	1739
igiennem	igennem	RP6	1739
kied	ked	RP6	1775
kiende	kende	RP6	1775
Kiempe	kæmpe	RP6	1775
Kierlighed	kærlighed	RP6	1739
Kiøbsted	købe	RP6	1739
Kiøkken	køkken	RP6	1775
regiere	regere	RP6	1775
Skiændsel	skændsel	RP6	1775
skiærpes	skærpe	RP6	1739
skiødesløs	skødesløs	RP6	1775
Capitain	kaptajn	RP7a	1775
Corps	korps	RP7a	1775
Lectie	lektie	RP7a	1739
Oeconomie	økonomi	RP7a	1775
beqvem	bekvem	RP7b	1775
Inqvisition	inkvisition	RP7b	1775
Qvinde	kvinde	RP7b	1775
Hornqvæg	kvæg	RP7b	1775
Exempel	eksempel	RP7d	1739
Instrux	instruks	RP7d	1775
Lexicon	leksikon	RP7d	1775
sex	seks	RP7d	1775
strax	straks	RP7d	1775
voxe	vokse	RP7d	1775
Øxe	økse	RP7d	1775
Disputatz	disputats	RP7e	1775
Fundatz	fundats	RP7e	1739
Magazin	magasin	RP7e	1775
Czar	zar	RP7e	1775
Inspecteur	inspektør	RP8	1775
Marskalk	marskal	RP8	1775
Orthographie	ortografi	RP8	1739
nedersachsisk	sakser	RP8	1775
Psalme	salme	RP8	1775
Amphitheater	teater	RP8	1775
Theologie	teologi	RP8	1775
Oeconomie	økonomi	RP8	1775
