à	4	præp.	60181158
a	3	v. og sb.	60181159
a	2	pron.	60181160
A	1	sb.	60181161
Abbed		sb.	60180541
Abbeddom		sb.	60180540
Abbedi		sb.	60180539
Abbedinde		sb.	60180538
Abbedisse		sb.	60180537
ABC		sb.	60180536
Abcbog		sb.	60180535
Abcbræt		sb.	60180534
abcdere		v.	60180533
Abct		sb.	60180532
abdicere		v.	60180531
abe	2	v.	60180529
Abe	1	sb.	60180530
abeagtig		adj.	60180528
Abeansigt		sb.	60180527
Abeart		sb.	60180526
Abeblomst		sb.	60180525
Abebrødtræ		sb.	60180524
Abegant		sb.	60180521
Abekat		sb.	60180520
Abekatinde		sb.	60180519
abekatte		v.	60180518
Abekattefjæs		sb.	60180517
Abekatteri		sb.	60180516
Abekattestreg		sb.	60180515
Abekunst		sb.	60180514
abekærlig		adj.	60180513
Abekærlighed		sb.	60180512
Abel		sb.	60180511
Abeline		sb.	60180509
Abemenneske		sb.	60180507
Abenoder		sb.pl.	60180506
Abepuds		sb.	60180505
Abepudseri		sb.	60180504
aber			60180503
Aberi		sb.	60180502
Abespil		sb.	60180501
Abestige		sb.	60180500
Abestreg		sb.	60180499
Abetov		sb.	60180498
abevorn		adj.	60180497
Abild-		i ssgr.	60180495
Abild		sb.	60180496
abildgraa		adj.	60180493
Abildgaard		sb.	60180494
Abildhave		sb.	60180492
Abildsin		sb.	60180491
Abildtræ		sb.	60180490
Abinde		sb.	60180489
abnorm		adj.	60180487
Abnormitet		sb.	60180486
Abonnement		sb.	60180485
Abonnementsaften		sb.	60180484
Abonnementskort		sb.	60180483
Abonnementspris		sb.	60180482
Abonnent		sb.	60180481
abonnere		v.	60180480
Abonnine		sb.	60180479
Aborre		sb.	60180478
Abort		sb.	60180477
abortere		v.	60180476
Abrakadabra		sb.	60180475
Abrikos		sb.	60180474
Abrikosblomme		sb.	60180473
abrikosblommefarvet		adj.	60180472
Abrikosblommeolie		sb.	60180471
Abrod		sb.	60180470
absentere		v.	60180469
Absigt		sb.	60180468
Absint		sb.	60180467
absintgrøn		adj.	60180466
Abskonsel		sb.	60180465
absolut		adj.	60180464
Absoluthed		sb.	60180463
Absolution		sb.	60180462
Absolutisme		sb.	60180461
Absolutist		sb.	60180460
absolutistisk		adj.	60180459
absolvere		v.	60180458
abstrahere		v.	60180456
Abstrakt	2	sb.	60180454
abstrakt	1	adj.	60180455
Abstraktion		sb.	60180453
absurd		adj.	60180452
Absurditet		sb.	60180451
Accent		sb.	60180449
accentere		v.	60180448
accentuere		v.	60180447
Accept		sb.	60180446
acceptabel		adj.	60180445
Acceptant		sb.	60180444
acceptere		v.	60180443
Accidens		sb.	60180442
Accise		sb.	60180441
Accisebetjent		sb.	60180440
Accisebod		sb.	60180439
Acciseseddel		sb.	60180438
Acciseskriver		sb.	60180437
Acht		sb.	60180435
ad		præp. og adv.	60180434
Adam			60180433
Adamsbarn		sb.	60180432
Adamsfigen		sb.	60180431
Adamskostume		sb.	60180430
Adamssøn		sb.	60180429
Adamsæble		sb.	60180428
Adbyrd		sb.	60180427
Adbærd		sb.	60180426
adbære sig		v.	60180425
Addend		sb.	60180424
addere		v.	60180423
Additionsstykke		sb.	60180422
Additionstegn		sb.	60180421
adel	3	adj.	60180418
Adel	2	sb.	60180419
Adel	1	sb.	60180420
Adelbonde		sb.	60180416
Adelby		sb.	60180415
adelbaaren		adj.	60180417
Adelfolk		sb.	60180414
Adelfylking		sb.	60180413
Adelgade		sb.	60180412
Adelhob		sb.	60180411
Adelhustru		sb.	60180410
Adelhær		sb.	60180409
adelig		adj.	60180408
Adelkløver			60180407
Adelkone		sb.	60180406
Adelrune		sb.	60180405
Adels-		i ssgr.	60180404
Adelsbanner		sb.	60180401
Adelsbarn		sb.	60180400
Adelsblod		sb.	60180399
Adelsbrev		sb.	60180398
Adelsbyrd		sb.	60180397
adelsbaaren		adj.	60180402
Adelsdame		sb.	60180396
Adelsdiplom		sb.	60180395
Adelsfolk		sb.pl.	60180394
Adelsfrue		sb.	60180393
Adelsfrøken		sb.	60180392
Adelsfylking		sb.	60180391
adelsgal		adj.	60180389
Adelsgods		sb.	60180388
Adelsgaard		sb.	60180390
Adelshad		sb.	60180387
Adelsherre		sb.	60180386
Adelshob		sb.	60180385
Adelshovmod		sb.	60180384
Adelsind		sb.	60180383
Adelskab		sb.	60180382
Adelskalender		sb.	60180381
Adelskrone		sb.	60180379
Adelsmand		sb.	60180378
Adelsmærke		sb.	60180377
Adelsnavn		sb.	60180376
Adelspatent		sb.	60180375
Adelsperson		sb.	60180374
Adelssind		sb.	60180373
Adelsskjold		sb.	60180371
Adelsslægt		sb.	60180370
adelsstolt		adj.	60180368
Adelsstolthed		sb.	60180367
Adelsstyre		sb.	60180366
Adelstand		sb.	60180365
Adelstævne		sb.	60180364
Adelsvælde		sb.	60180363
Adelsvæsen		sb.	60180362
Adelsaarbog		sb.	60180403
Adelvej		sb.	60180361
Adelvildt		sb.	60180360
Adelviv		sb.	60180359
Adfærd		sb.	60180358
Adgang		sb.	60180357
Adgangs-		i ssgr.	60180356
adgangsberettiget		adj.	60180355
Adgangsbevis		sb.	60180354
Adgangsbillet		sb.	60180353
Adgangseksamen		sb.	60180352
adgangsformene		v.	60180351
Adgangsgast		sb.	60180350
Adgangskort		sb.	60180349
Adgangspenge		sb.pl.	60180348
Adgangsprøve		sb.	60180347
Adgangsret		sb.	60180346
Adgangstilladelse		sb.	60180345
Adhu		sb.	60180343
adhaands		adj.	60180344
Adjektiv		sb.	60180342
adjektivisk		adj.	60180341
Adjudant		sb.	60180340
Adjudantsnor		sb.	60180339
Adjudantstab		sb.	60180338
adjungere		v.	60180337
Adjunkt		sb.	60180336
adjø			60180334
Adkom		sb.	60180333
Adkomst		sb.	60180332
Adkomstbevis		sb.	60180331
Adkomstbrev		sb.	60180330
Adkomstdokument		sb.	60180329
Adkomsthjemmel		sb.	60180328
adle		v.	60180327
Adled		sb.	60180326
adlyde		v.	60180325
Admindelse		sb.	60180324
Administration		sb.	60180323
administrativ		adj.	60180322
Administrator		sb.	60180321
administrere		v.	60180320
Admiral	2	sb.	60180318
Admiral		sb.	60180319
Admiralflag		sb.	60180317
Admiralinde		sb.	60180316
Admiralitet		sb.	60180315
Admiralitetsret		sb.	60180314
Admiralsflag		sb.	60180313
Admiralskab		sb.	60180312
Admiralskib		sb.	60180311
Admiralstab		sb.	60180310
Adonis		sb.	60180309
Adoptant		sb.	60180308
