word	char_issue
à	Preposition
a	Verb/Noun
a	Pronoun
A	Noun
Abbed	Noun
Abbeddom	Noun
Abbedi	Noun
Abbedinde	Noun
Abbedisse	Noun
ABC	Noun
Abcbog	Noun
Abcbræt	Noun
abcdere	Verb
Abct	Noun
abdicere	Verb
abe	Verb
Abe	Noun
abeagtig	Adjective
Abeansigt	Noun
Abeart	Noun
Abeblomst	Noun
Abebrødtræ	Noun
Abegant	Noun
Abekat	Noun
Abekatinde	Noun
abekatte	Verb
Abekattefjæs	Noun
Abekatteri	Noun
Abekattestreg	Noun
Abekunst	Noun
abekærlig	Adjective
Abekærlighed	Noun
Abel	Noun
Abeline	Noun
Abemenneske	Noun
Abenoder	Noun/Plural
Abepuds	Noun
Abepudseri	Noun
aber	
Aberi	Noun
Abespil	Noun
Abestige	Noun
Abestreg	Noun
Abetov	Noun
abevorn	Adjective
Abild-	BoundForm
Abild	Noun
abildgraa	Adjective
Abildgaard	Noun
Abildhave	Noun
Abildsin	Noun
Abildtræ	Noun
Abinde	Noun
abnorm	Adjective
Abnormitet	Noun
Abonnement	Noun
Abonnementsaften	Noun
Abonnementskort	Noun
Abonnementspris	Noun
Abonnent	Noun
abonnere	Verb
Abonnine	Noun
Aborre	Noun
Abort	Noun
abortere	Verb
Abrakadabra	Noun
Abrikos	Noun
Abrikosblomme	Noun
abrikosblommefarvet	Adjective
Abrikosblommeolie	Noun
Abrod	Noun
absentere	Verb
Absigt	Noun
Absint	Noun
absintgrøn	Adjective
Abskonsel	Noun
absolut	Adjective
Absoluthed	Noun
Absolution	Noun
Absolutisme	Noun
Absolutist	Noun
absolutistisk	Adjective
absolvere	Verb
abstrahere	Verb
Abstrakt	Noun
abstrakt	Adjective
Abstraktion	Noun
absurd	Adjective
Absurditet	Noun
Accent	Noun
accentere	Verb
accentuere	Verb
Accept	Noun
acceptabel	Adjective
Acceptant	Noun
acceptere	Verb
Accidens	Noun
Accise	Noun
Accisebetjent	Noun
Accisebod	Noun
Acciseseddel	Noun
Acciseskriver	Noun
Acht	Noun
ad	Preposition/Adverb
Adam	
Adamsbarn	Noun
Adamsfigen	Noun
Adamskostume	Noun
Adamssøn	Noun
Adamsæble	Noun
Adbyrd	Noun
Adbærd	Noun
adbære sig	Verb
Addend	Noun
addere	Verb
Additionsstykke	Noun
Additionstegn	Noun
adel	Adjective
Adel	Noun
Adel	Noun
Adelbonde	Noun
Adelby	Noun
adelbaaren	Adjective
Adelfolk	Noun
Adelfylking	Noun
Adelgade	Noun
Adelhob	Noun
Adelhustru	Noun
Adelhær	Noun
adelig	Adjective
Adelkløver	
Adelkone	Noun
Adelrune	Noun
Adels-	BoundForm
Adelsbanner	Noun
Adelsbarn	Noun
Adelsblod	Noun
Adelsbrev	Noun
Adelsbyrd	Noun
adelsbaaren	Adjective
Adelsdame	Noun
Adelsdiplom	Noun
Adelsfolk	Noun/Plural
Adelsfrue	Noun
Adelsfrøken	Noun
Adelsfylking	Noun
adelsgal	Adjective
Adelsgods	Noun
Adelsgaard	Noun
Adelshad	Noun
Adelsherre	Noun
Adelshob	Noun
Adelshovmod	Noun
Adelsind	Noun
Adelskab	Noun
Adelskalender	Noun
Adelskrone	Noun
Adelsmand	Noun
Adelsmærke	Noun
Adelsnavn	Noun
Adelspatent	Noun
Adelsperson	Noun
Adelssind	Noun
Adelsskjold	Noun
Adelsslægt	Noun
adelsstolt	Adjective
Adelsstolthed	Noun
Adelsstyre	Noun
Adelstand	Noun
Adelstævne	Noun
Adelsvælde	Noun
Adelsvæsen	Noun
Adelsaarbog	Noun
Adelvej	Noun
Adelvildt	Noun
Adelviv	Noun
Adfærd	Noun
Adgang	Noun
Adgangs-	BoundForm
adgangsberettiget	Adjective
Adgangsbevis	Noun
Adgangsbillet	Noun
Adgangseksamen	Noun
adgangsformene	Verb
Adgangsgast	Noun
Adgangskort	Noun
Adgangspenge	Noun/Plural
Adgangsprøve	Noun
Adgangsret	Noun
Adgangstilladelse	Noun
Adhu	Noun
adhaands	Adjective
Adjektiv	Noun
adjektivisk	Adjective
Adjudant	Noun
Adjudantsnor	Noun
Adjudantstab	Noun
adjungere	Verb
Adjunkt	Noun
adjø	
Adkom	Noun
Adkomst	Noun
Adkomstbevis	Noun
Adkomstbrev	Noun
Adkomstdokument	Noun
Adkomsthjemmel	Noun
adle	Verb
Adled	Noun
adlyde	Verb
Admindelse	Noun
Administration	Noun
administrativ	Adjective
Administrator	Noun
administrere	Verb
Admiral	Noun
Admiral	Noun
Admiralflag	Noun
Admiralinde	Noun
Admiralitet	Noun
Admiralitetsret	Noun
Admiralsflag	Noun
Admiralskab	Noun
Admiralskib	Noun
Admiralstab	Noun
Adonis	Noun
Adoptant	Noun
adoptere	Verb
adoptiv	Adjective
Adoptivbarn	Noun
Adoptivdatter	Noun
Adoptivfader	Noun
Adoptivforældre	Noun/Plural
Adoptivland	Noun
Adoptivmoder	Noun
Adoptivsøn	Noun
Adrascanter	
Adressat	Noun
Adresse	Noun
Adresseavis	Noun
Adressebog	Noun
Adressebrev	Noun
Adressedebat	Noun
Adressekontor	Noun
Adressekort	Noun
adressere	Verb
Adressering	Noun
Adriene	Noun
adræt	Adjective
Adræthed	Noun
Adskel	Noun
adskille	Verb
adskillelig	Adjective
Adskillelse	Noun
Adskillelsestegn	Noun
adskillig	Adjective
Adskillighed	Noun
adskilligvis	Adverb
Adskilling	Noun
Adskilthed	Noun
adsplide	Verb
adsprede	Verb
Adspredelse	Noun
Adspreder	Noun
Adspredthed	Noun
adspørge	Verb
adstadelig	Adjective
adstadig	Adjective
Adstadighed	Noun
advare	Verb
Advarsel	Noun
Advarselsfarve	Noun
Advarselsskrig	Noun
Advarselstegn	Noun
Advent	Noun
Adventist	Noun
adverbial	Adjective
Adverbium	Noun
Advis	Noun
Advisbrev	Noun
advisere	Verb
Advisjagt	Noun
Advisskib	Noun
Advokat	Noun
advokatorisk	Adjective
Advokatpære	Noun
Advokattræ	Noun
ae	Adverb
ae	Verb
Aero-	BoundForm
Aerodrom	Noun
Aeronaut	Noun
Aeroplan	Noun
af	Preposition/Adverb
afarbejde	Verb
Afart	Noun
afbade	Verb
afbage	Verb
afbalancere	Verb
afbanke	Verb
afbarbere	Verb
afbarke	Verb
Afbed	Noun
afbede	Verb
afbedrage	Verb
afbefolke	Verb
