word	char_issue
à	præp.
a	v. og sb.
a	pron.
A	sb.
Abbed	sb.
Abbeddom	sb.
Abbedi	sb.
Abbedinde	sb.
Abbedisse	sb.
ABC	sb.
Abcbog	sb.
Abcbræt	sb.
abcdere	v.
Abct	sb.
abdicere	v.
abe	v.
Abe	sb.
abeagtig	adj.
Abeansigt	sb.
Abeart	sb.
Abeblomst	sb.
Abebrødtræ	sb.
Abegant	sb.
Abekat	sb.
Abekatinde	sb.
abekatte	v.
Abekattefjæs	sb.
Abekatteri	sb.
Abekattestreg	sb.
Abekunst	sb.
abekærlig	adj.
Abekærlighed	sb.
Abel	sb.
Abeline	sb.
Abemenneske	sb.
Abenoder	sb.pl.
Abepuds	sb.
Abepudseri	sb.
aber	
Aberi	sb.
Abespil	sb.
Abestige	sb.
Abestreg	sb.
Abetov	sb.
abevorn	adj.
Abild-	i ssgr.
Abild	sb.
abildgraa	adj.
Abildgaard	sb.
Abildhave	sb.
Abildsin	sb.
Abildtræ	sb.
Abinde	sb.
abnorm	adj.
Abnormitet	sb.
Abonnement	sb.
Abonnementsaften	sb.
Abonnementskort	sb.
Abonnementspris	sb.
Abonnent	sb.
abonnere	v.
Abonnine	sb.
Aborre	sb.
Abort	sb.
abortere	v.
Abrakadabra	sb.
Abrikos	sb.
Abrikosblomme	sb.
abrikosblommefarvet	adj.
Abrikosblommeolie	sb.
Abrod	sb.
absentere	v.
Absigt	sb.
Absint	sb.
absintgrøn	adj.
Abskonsel	sb.
absolut	adj.
Absoluthed	sb.
Absolution	sb.
Absolutisme	sb.
Absolutist	sb.
absolutistisk	adj.
absolvere	v.
abstrahere	v.
Abstrakt	sb.
abstrakt	adj.
Abstraktion	sb.
absurd	adj.
Absurditet	sb.
Accent	sb.
accentere	v.
accentuere	v.
Accept	sb.
acceptabel	adj.
Acceptant	sb.
acceptere	v.
Accidens	sb.
Accise	sb.
Accisebetjent	sb.
Accisebod	sb.
Acciseseddel	sb.
Acciseskriver	sb.
Acht	sb.
ad	præp. og adv.
Adam	
Adamsbarn	sb.
Adamsfigen	sb.
Adamskostume	sb.
Adamssøn	sb.
Adamsæble	sb.
Adbyrd	sb.
Adbærd	sb.
adbære sig	v.
Addend	sb.
addere	v.
Additionsstykke	sb.
Additionstegn	sb.
adel	adj.
Adel	sb.
Adel	sb.
Adelbonde	sb.
Adelby	sb.
adelbaaren	adj.
Adelfolk	sb.
Adelfylking	sb.
Adelgade	sb.
Adelhob	sb.
Adelhustru	sb.
Adelhær	sb.
adelig	adj.
Adelkløver	
Adelkone	sb.
Adelrune	sb.
Adels-	i ssgr.
Adelsbanner	sb.
Adelsbarn	sb.
Adelsblod	sb.
Adelsbrev	sb.
Adelsbyrd	sb.
adelsbaaren	adj.
Adelsdame	sb.
Adelsdiplom	sb.
