word	total	char_fix	char_issue	ne_score	ne_label
Gud	870			1.00	namedEntity
Niels	487			1.00	namedEntity
Elisabeth	390			1.00	namedEntity
Kjøbenhavn	223			1.00	namedEntity
ANNA	221			1.00	namedEntity
CHRISTINE	215			1.00	namedEntity
Danmark	212			1.00	namedEntity
Frederik	182			1.00	namedEntity
Hans	170			1.00	namedEntity
Rom	162			1.00	namedEntity
Herman	154			1.00	namedEntity
FREDERIK	148			1.00	namedEntity
Johannes	128			1.00	namedEntity
Thorvaldsen	123			1.00	namedEntity
Svane	118			1.00	namedEntity
Norden	111			1.00	namedEntity
Jørgen	99			1.00	namedEntity
CARL	93			1.00	namedEntity
AHASVERUS	88			1.00	namedEntity
Anna	88			1.00	namedEntity
Italien	85			1.00	namedEntity
Paris	84			1.00	namedEntity
Clara	79			1.00	namedEntity
Dickens	79			1.00	namedEntity
Fyen	79			1.00	namedEntity
Christus	64			1.00	namedEntity
Karen	62			1.00	namedEntity
Danmarks	55			1.00	namedEntity
Donau	55			1.00	namedEntity
London	55			1.00	namedEntity
Neapel	53			1.00	namedEntity
Grækenland	51			1.00	namedEntity
Bibelen	49			1.00	namedEntity
Carl	49			1.00	namedEntity
Lisbeth	48			1.00	namedEntity
Maria	45			1.00	namedEntity
Spanien	45			1.00	namedEntity
Helga	43			1.00	namedEntity
Odense	43			1.00	namedEntity
Thorvaldsens	41			1.00	namedEntity
Jylland	40			1.00	namedEntity
Ole	40			1.00	namedEntity
England	39			1.00	namedEntity
Elisa	38			1.00	namedEntity
Europa	37			1.00	namedEntity
Morten	37			1.00	namedEntity
Tydskland	37			1.00	namedEntity
Christian	36			1.00	namedEntity
Wien	36			1.00	namedEntity
Amor	33			1.00	namedEntity
Ahasverus	32			1.00	namedEntity
Frankrig	32			1.00	namedEntity
Jerusalem	32			1.00	namedEntity
Norge	32			1.00	namedEntity
Rundetaarn	32			1.00	namedEntity
Portugal	31			1.00	namedEntity
Ida	29			1.00	namedEntity
Amerika	28			1.00	namedEntity
Sophie	26			1.00	namedEntity
Adam	23			1.00	namedEntity
Setubal	23			1.00	namedEntity
Christine	22			1.00	namedEntity
Silkeborg	22			1.00	namedEntity
Florents	21			1.00	namedEntity
Heiberg	21			1.00	namedEntity
Høien	21			1.00	namedEntity
Moses	21			1.00	namedEntity
Roeskilde	21			1.00	namedEntity
Alperne	20			1.00	namedEntity
Anastasia	20			1.00	namedEntity
Djævelen	20			1.00	namedEntity
Ørsted	20			1.00	namedEntity
Grenen	19			1.00	namedEntity
Knud	19			1.00	namedEntity
Ramme	19			1.00	namedEntity
Roms	19			1.00	namedEntity
Alfred	18			1.00	namedEntity
Stockholm	18			1.00	namedEntity
Ægyptens	18			1.00	namedEntity
Davids	17			1.00	namedEntity
Dresden	17			1.00	namedEntity
Goethe	17			1.00	namedEntity
Homers	17			1.00	namedEntity
Oehlenschläger	17		foreign_name	1.00	namedEntity
Rolighed	17			1.00	namedEntity
Slesvig	17			1.00	namedEntity
Venus	17			1.00	namedEntity
Vildmosen	17			1.00	namedEntity
Columbus	16			1.00	namedEntity
Frederiks	16			1.00	namedEntity
Knap	16			1.00	namedEntity
Venedig	16			1.00	namedEntity
Kala	15			1.00	namedEntity
Kjøbenhavns	15			1.00	namedEntity
Messias	15			1.00	namedEntity
Raphael	15			1.00	namedEntity
Børglum	14			1.00	namedEntity
Jørgens	14			1.00	namedEntity
Marie	14			1.00	namedEntity
Nürnberg	14		foreign_name	1.00	namedEntity
Oluf	14			1.00	namedEntity
Rasmus	14			1.00	namedEntity
Skotland	14			1.00	namedEntity
Ægypten	14			1.00	namedEntity
Ætna	14			1.00	namedEntity
Aphtanides	13			1.00	namedEntity
Claus	13			1.00	namedEntity
Peter	13			1.00	namedEntity
Skagen	13			1.00	namedEntity
Smyrna	13			1.00	namedEntity
Sorø	13			1.00	namedEntity
Vesuv	13			1.00	namedEntity
Als	12			1.00	namedEntity
Amalie	12			1.00	namedEntity
Ester	12			1.00	namedEntity
Holbergs	12			1.00	namedEntity
PETER	12			1.00	namedEntity
Shakspeare	12			1.00	namedEntity
Holberg	11			1.00	namedEntity
