tale	old	modern	confidence	method	context
aarets-historie	have	har	0.80	window	Menneskene have taget fejl af Tidsregningen!« »Det har de!« sagde en tredje, der var gammel og hvid i Toppen; »de have n
aarets-historie	kalde	kalder	0.90	window	Menneskene have taget fejl af Tidsregningen!« »Det har de!« sagde en tredje, der var gammel og hvid i Toppen; »de have n
aarets-historie	bedre	bedrer	0.80	window	Når Foråret kommer, så begynder Året, det er Naturens Gang, og den regner jeg efter!« »Men, når kommer Foråret?« spurgte
aarets-historie	have	har	0.80	window	De strø Brødkrummer ud, også for deres Fornøjelse, og vi have da Føden! der er ligesom sørget for En; – og så tror jeg, 
aarets-historie	blive	bliver	0.90	window	De strø Brødkrummer ud, også for deres Fornøjelse, og vi have da Føden! der er ligesom sørget for En; – og så tror jeg, 
aarets-historie	flyve	flyver	0.90	window	De strø Brødkrummer ud, også for deres Fornøjelse, og vi have da Føden! der er ligesom sørget for En; – og så tror jeg, 
aarets-historie	magre	magrer	0.80	window	Bonden, med store Bælvanter på, sad i sin Slæde og slog sig med sine Arme for at fåe Kulden af dem, Pidsken låe på Skøde
aarets-historie	åbne	åbner	0.80	window	Og Solen skinnede mere og mere varm, snen smeltede, Fuglene qviddrede: »Våren kommer!« Og højt gennem Luften kom den før
aarets-historie	pløje	pløjer	0.82	spacy-dep	Humlen duftede dejligt og hang i store Kopper og under Hasselbuskene, hvor Nødderne sad i svære Kløvser , hvilte Mand og
aarets-historie	vinde	vinder	0.82	spacy-dep	Mere og altid Mere ville Menneskene vinde! – Se Storkene komme i Flokke og gåe i Afstand efter Ploven;
aarets-historie	flyve	flyver	0.82	spacy-dep	Men Årets Dronning blev mere og mere stille, mere bleg. »Det lufter koldt!« sagde hun, »Natten har våde Tåger! – jeg læn
