#id	source	target	confidence	period_from	period_to	enabled
R0001	ct	kt	1.0			1
R0002	Meen	mén	1.0			1
R0003	Maneer	manér	1.0			1
R0004	Thee	te	1.0			1
R0005	Reelingen	rælingen	1.0			1
R0006	leet	leeet	1.0			1
R0007	leende	leeende	1.0			1
R0008	Ideen	ideeen	1.0			1
R0009	 Fee	 Feee	1.0			1
R0010	 Feen	 Feeen	1.0			1
R0011	Seer	Seeer	1.0			1
R0012	besneede	tilsneeede	1.0			1
R0013	Sneen	sneeen	1.0			1
R0014	Beeren	Beeeren	1.0			1
R0015	Hveen	Hven	1.0			1
R0016	Kaffeen	caféen	1.0			1
R0017	Cafeer	caféer	1.0			1
R0018	Alleer	alléer	1.0			1
R0019	Alleen	alléen	1.0			1
R0020	Allee 	allé 	1.0			1
R0021	desmeer	desmere	1.0			1
R0022	Fricasee	frikassé	1.0			1
R0023	 reele	 reeele	1.0			1
R0024	Reele	Reeele	1.0			1
R0025	 Udseende	 udseeende	1.0			1
R0026	 Forseelse	 forseeelse	1.0			1
R0027	ee	e	1.0			1
R0028	kie	ke	1.0			1
R0029	oug	ov	1.0			1
R0030	Ph	F	1.0			1
R0031	raph	raf	1.0			1
R0032	soph	sof	1.0			1
R0064	aaer	år	0.95			1
R0033	aa	å	1.0			1
R0034	Aa	Å	1.0			1
R0035	 eet	 ét	1.0			1
R0036	ö	ø	1.0			1
R0037	muel	mul	1.0			1
R0038	foer	for	1.0			1
R0039	Roes	ros	1.0			1
R0040	vaer	var	1.0			1
R0041	bjel	bjæl	1.0			1
R0042	Bjel	Bjæl	1.0			1
R0043	skoe 	sko 	1.0			1
R0044	bittre	bitre	1.0			1
R0045	 vare 	 var 	1.0			1
R0046	 ere 	 er 	1.0			1
R0047	ei	ej	0.95			1
R0048	Ei	Ej	0.95			1
R0049	øi	øj	0.95			1
R0050	Øi	Øj	0.95			1
R0051	gje	ge	0.95			1
R0052	gjæ	gæ	0.95			1
R0053	gjø	gø	0.95			1
R0054	kje	ke	0.95			1
R0055	kjæ	kæ	0.95			1
R0056	kjø	kø	0.95			1
R0057	Gje	Ge	0.95			1
R0058	Gjæ	Gæ	0.95			1
R0059	Gjø	Gø	0.95			1
R0060	Kje	Ke	0.95			1
R0061	Kjæ	Kæ	0.95			1
R0062	Kjø	Kø	0.95			1
R0063	x	ks	0.95			1
R0065	 ph	 f	0.95			1
R0066	elephant	elefant	0.99			1
R0068	døer	dør	0.95			1
R0069	moer	mor	0.95			1
R0070	groer	gror	0.95			1
R0071	troer	tror	0.95			1
R0072	boer	bor	0.95			1
R0073	øe 	ø 	0.95			1
R0074	øe,	ø,	0.95			1
R0075	øe.	ø.	0.95			1
R0076	øe!	ø!	0.95			1
R0077	øe;	ø;	0.95			1
R0078	ii	i	0.95			1
R0079	dands	dans	0.95			1
R0080	glands	glans	0.95			1
R0081	grændse	grænse	0.95			1
R0082	hvidske	hviske	0.95			1
R0083	krands	krans	0.95			1
R0084	kudsk	kusk	0.95			1
R0085	pladsk	plask	0.95			1
R0086	pidsk	pisk	0.95			1
R0087	prinds	prins	0.95			1
R0088	sands	sans	0.95			1
R0089	tydsk	tysk	0.95			1
R0090	flesk	flæsk	0.95			1
R0091	geld	gæld	0.95			1
R0092	helde	hælde	0.95			1
R0093	knegt	knægt	0.95			1
R0094	melk	mælk	0.95			1
R0095	neppe	næppe	0.95			1
R0096	selsom	sælsom	0.95			1
R0097	skev	skæv	0.95			1
R0098	teppe	tæppe	0.95			1
R0099	jevn	jævn	0.95			1
R0100	allene	alene	0.95			1
R0101	linie	linje	0.95			1
R0102	lillie	lilje	0.95			1
R0103	tredie	tredje	0.95			1
R0104	medens	mens	0.95			1
R0105	Lieutenant	løjtnant	0.95			1
R0106	lieutenant	løjtnant	0.95			1
R0107	medaille	medalje	0.95			1
R0108	portrait	portræt	0.95			1
R0109	psalme	salme	0.95			1
R0110	kastanie	kastanje	0.95			1
R0111	aae 	å 	0.95			1
R0112	aae.	å.	0.95			1
R0113	aae!	å!	0.95			1
R0114	aae,	å,	0.95			1
R0115	aae;	å;	0.95			1
R0116	uu	u	0.95			1
R0117	tidt	tit	0.95			1
R0118	boutik	butik	0.95			1
R0119	tour	tur	0.95			1
R0120	skoe	sko	0.95			1
R0121	moder	mor	1.0			1
R0122	Moder	Mor	1.0			1
R0123	fader	far	1.0			1
R0124	Fader	Far	1.0			1
R0125	broder	bror	1.0			1
R0126	Broder	Bror	1.0			1
R0127	ph	f	0.95			1
R0128	couleur	kulør	1.0			1
R0129	Couleur	Kulør	1.0			1
R0130	maneuvre	manøvre	1.0			1
